mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.1582	2.77408e-07
0	0.1584	5.54816e-07
0	0.1586	8.32224e-07
0	0.1588	3.05149e-06
0	0.159	1.99734e-05
0	0.1592	2.1083e-05
0	0.1594	0.00105415
0	0.1596	0.206435
0	0.1598	0.70412
0	0.16	0.0979918
0	0.1602	0.00156791
0	0.1604	4.9656e-05
0	0.1606	4.16112e-06
0	0.1608	0
0	0.161	2.77408e-07
0	0.1612	0
0	0.1614	0
0	0.1616	0
0	0.1618	2.77408e-07
0	0.162	0
0	0.1622	0
0	0.1624	0
0	0.1626	2.77408e-07
0	0.1628	1.13737e-05
0	0.163	1.3593e-05
0	0.1632	1.16511e-05
0	0.1634	4.99334e-06
0	0.1636	2.49667e-06
0	0.1638	8.32224e-07
0	0.164	5.54816e-07
0	0.1642	0
0	0.1644	0
0	0.1646	0
0	0.1648	0
0	0.165	0
0	0.1652	0
0	0.1654	0
0	0.1656	0
0	0.1658	0
0	0.166	0
0	0.1662	0
0	0.1664	0
0	0.1666	0
0	0.1668	0
0	0.167	5.54816e-07
0	0.1672	2.77408e-07
0	0.1674	1.38704e-06
0	0.1676	8.32224e-07
0	0.1678	5.54816e-07
0	0.168	0
0	0.1682	0
0	0.1684	0
0	0.1686	0
0	0.1688	0
0	0.169	0
0	0.1692	0
0	0.1694	0
0	0.1696	0
0	0.1698	0
0	0.17	0
0	0.1702	0
0	0.1704	0
0	0.1706	1.66445e-06
0	0.1708	5.54816e-06
0	0.171	6.9352e-06
0	0.1712	1.94186e-06
0	0.1714	8.32224e-07
0	0.1716	2.77408e-07
0	0.1718	0
0	0.172	2.77408e-07
0	0.1722	0
0	0.1724	2.77408e-07
0	0.1726	0
0	0.1728	0
0	0.173	0
0	0.1732	0
0	0.1734	0
0	0.1736	0
0	0.1738	0
0	0.174	5.54816e-07
0	0.1742	1.38704e-06
0	0.1744	1.66445e-06
0	0.1746	2.77408e-07
0	0.1748	8.32224e-07
0	0.175	0
0	0.1752	0
0	0.1754	0
0	0.1756	0
0	0.1758	0
0	0.176	0
0	0.1762	0
0	0.1764	0
0	0.1766	0
0	0.1768	0
0	0.177	0
0	0.1772	0
0	0.1774	0
0	0.1776	0
0	0.1778	0
0	0.178	0
0	0.1782	0
0	0.1784	0
0	0.1786	5.54816e-07
0	0.1788	2.21926e-06
0	0.179	2.49667e-06
0	0.1792	2.77408e-07
0	0.1794	2.77408e-07
0	0.1796	0
0	0.1798	0
0	0.18	0
0	0.1802	0
0	0.1804	2.77408e-07
0	0.1806	1.10963e-06
8.03337e-10	0.1808	2.77408e-07
1.97567e-08	0.181	2.77408e-07
6.38945e-08	0.1812	5.54816e-07
1.33217e-07	0.1814	5.54816e-07
2.27724e-07	0.1816	8.32224e-07
3.47415e-07	0.1818	1.10963e-06
4.92291e-07	0.182	5.54816e-07
6.62352e-07	0.1822	2.77408e-06
8.57597e-07	0.1824	6.9352e-06
1.07803e-06	0.1826	2.21926e-05
1.32364e-06	0.1828	2.21926e-05
1.59444e-06	0.183	0.000645806
1.89042e-06	0.1832	0.0410048
2.21159e-06	0.1834	0.210074
2.55794e-06	0.1836	0.217127
2.92948e-06	0.1838	0.0580396
3.3262e-06	0.184	0.00175433
3.7481e-06	0.1842	4.43853e-06
4.19519e-06	0.1844	2.77408e-07
4.66747e-06	0.1846	0
5.16493e-06	0.1848	0
5.68757e-06	0.185	0
6.2354e-06	0.1852	8.32224e-07
6.80841e-06	0.1854	2.77408e-07
7.40661e-06	0.1856	5.54816e-07
8.02999e-06	0.1858	0
8.67856e-06	0.186	2.77408e-07
9.35231e-06	0.1862	2.77408e-07
1.00512e-05	0.1864	2.77408e-07
1.07754e-05	0.1866	1.38704e-06
1.15247e-05	0.1868	2.21926e-06
1.22992e-05	0.187	0.000266866
1.30988e-05	0.1872	0.0167541
1.39237e-05	0.1874	0.0382138
1.47737e-05	0.1876	0.00842183
1.5649e-05	0.1878	0.000100699
1.65494e-05	0.188	0
1.7475e-05	0.1882	2.77408e-07
1.84257e-05	0.1884	2.77408e-07
1.94017e-05	0.1886	0
2.04029e-05	0.1888	0
2.14292e-05	0.189	2.77408e-07
2.24807e-05	0.1892	2.77408e-07
2.35574e-05	0.1894	2.77408e-07
2.46593e-05	0.1896	0
2.57864e-05	0.1898	0
2.69386e-05	0.19	2.77408e-07
2.81161e-05	0.1902	0
2.93187e-05	0.1904	0
3.05465e-05	0.1906	0
3.17995e-05	0.1908	0
3.30777e-05	0.191	2.77408e-07
3.43811e-05	0.1912	5.54816e-07
3.57096e-05	0.1914	0
3.70633e-05	0.1916	2.77408e-07
3.84422e-05	0.1918	0
3.98464e-05	0.192	0
4.12756e-05	0.1922	2.77408e-07
4.27301e-05	0.1924	0
4.42098e-05	0.1926	5.54816e-07
4.57146e-05	0.1928	0
4.72446e-05	0.193	5.54816e-07
4.87998e-05	0.1932	5.54816e-07
5.03802e-05	0.1934	0
5.19858e-05	0.1936	0
5.36166e-05	0.1938	2.77408e-07
5.52725e-05	0.194	0
5.69537e-05	0.1942	2.77408e-07
5.866e-05	0.1944	5.54816e-07
6.03915e-05	0.1946	2.77408e-07
6.21482e-05	0.1948	0
