Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.911e-03,-0.24,-0.2,-0.002,0.004
-3.910e-03,-0.22,-0.26,-0.002,-0.01
-3.908e-03,-0.22,-0.2,-4.76837e-10,0.004
-3.906e-03,-0.22,-0.26,-0.002,-0.008
-3.904e-03,-0.24,-0.2,-0.004,0.002
-3.902e-03,-0.22,-0.26,-0.002,-0.01
-3.900e-03,-0.24,-0.2,-0.006,0.002
-3.898e-03,-0.24,-0.26,-0.006,-0.008
-3.896e-03,-0.24,-0.2,-0.006,0.002
-3.894e-03,-0.24,-0.26,-0.002,-0.01
-3.892e-03,-0.26,-0.22,-0.002,0.002
-3.890e-03,-0.24,-0.26,-0.004,-0.008
-3.888e-03,-0.22,-0.2,-0.002,0.002
-3.887e-03,-0.24,-0.26,-0.004,-0.008
-3.885e-03,-0.22,-0.2,-0.004,0.004
-3.883e-03,-0.24,-0.26,-0.006,-0.008
-3.881e-03,-0.24,-0.2,-0.002,0.002
-3.879e-03,-0.26,-0.26,-0.002,-0.008
-3.877e-03,-0.24,-0.22,-0.004,0.002
-3.875e-03,-0.24,-0.26,-0.004,-0.008
-3.873e-03,-0.22,-0.2,-0.002,0.002
-3.871e-03,-0.24,-0.26,-0.006,-0.008
-3.869e-03,-0.26,-0.22,-0.002,0.002
-3.867e-03,-0.24,-0.28,-0.004,-0.01
-3.865e-03,-0.24,-0.22,-0.004,0.002
-3.863e-03,-0.24,-0.28,-0.004,-0.008
-3.862e-03,-0.24,-0.22,-0.002,0.002
-3.860e-03,-0.24,-0.28,-0.002,-0.01
-3.858e-03,-0.24,-0.22,-0.002,0.002
-3.856e-03,-0.24,-0.28,-0.004,-0.01
-3.854e-03,-0.24,-0.22,-0.004,0.004
-3.852e-03,-0.24,-0.28,-4.76837e-10,-0.008
-3.850e-03,-0.24,-0.22,-0.002,0.004
-3.848e-03,-0.24,-0.28,-0.006,-0.008
-3.846e-03,-0.24,-0.22,-4.76837e-10,0.004
-3.844e-03,-0.24,-0.28,-0.002,-0.008
-3.842e-03,-0.24,-0.22,-0.002,0.002
-3.840e-03,-0.24,-0.28,-0.002,-0.01
-3.839e-03,-0.24,-0.22,-4.76837e-10,0.004
-3.837e-03,-0.24,-0.28,-0.002,-0.008
-3.835e-03,-0.24,-0.22,-0.004,0.002
-3.833e-03,-0.24,-0.28,-0.004,-0.008
-3.831e-03,-0.26,-0.22,-0.002,0.002
-3.829e-03,-0.24,-0.28,-4.76837e-10,-0.008
-3.827e-03,-0.26,-0.22,-0.002,0.004
-3.825e-03,-0.22,-0.28,-0.002,-0.008
