Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.637e-03,-0.34,-0.32,-0.003,0.003
-3.635e-03,-0.34,-0.38,-0.005,-0.009
-3.633e-03,-0.34,-0.32,-0.005,0.000999998
-3.631e-03,-0.34,-0.38,-0.003,-0.009
-3.629e-03,-0.34,-0.32,-0.005,0.003
-3.627e-03,-0.34,-0.38,-0.003,-0.009
-3.625e-03,-0.36,-0.32,-0.001,0.003
-3.623e-03,-0.34,-0.38,-0.009,-0.009
-3.622e-03,-0.34,-0.32,-0.003,0.003
-3.620e-03,-0.36,-0.38,-0.003,-0.011
-3.618e-03,-0.34,-0.32,-0.005,0.003
-3.616e-03,-0.36,-0.38,-0.003,-0.009
-3.614e-03,-0.34,-0.32,-0.005,0.000999998
-3.612e-03,-0.36,-0.38,-0.005,-0.011
-3.610e-03,-0.34,-0.32,-0.003,0.000999998
-3.608e-03,-0.36,-0.38,-0.003,-0.009
-3.606e-03,-0.34,-0.32,-0.003,0.000999998
-3.604e-03,-0.36,-0.4,-0.003,-0.009
-3.602e-03,-0.36,-0.32,-0.003,0.003
-3.600e-03,-0.34,-0.4,-0.005,-0.009
-3.599e-03,-0.36,-0.32,-0.005,0.000999998
-3.597e-03,-0.36,-0.4,-0.005,-0.009
-3.595e-03,-0.36,-0.32,-0.003,0.000999998
-3.593e-03,-0.36,-0.4,-0.007,-0.009
-3.591e-03,-0.36,-0.34,-0.001,0.003
-3.589e-03,-0.36,-0.4,-0.007,-0.009
-3.587e-03,-0.36,-0.34,-0.003,0.003
-3.585e-03,-0.34,-0.4,-0.007,-0.011
-3.583e-03,-0.34,-0.32,-0.003,0.000999998
-3.581e-03,-0.36,-0.4,-0.005,-0.009
-3.579e-03,-0.36,-0.34,-0.003,0.000999998
-3.577e-03,-0.38,-0.4,-0.003,-0.011
-3.575e-03,-0.36,-0.34,-0.009,0.003
-3.574e-03,-0.36,-0.4,-0.003,-0.009
-3.572e-03,-0.36,-0.34,-0.003,0.003
-3.570e-03,-0.36,-0.4,-0.005,-0.009
-3.568e-03,-0.36,-0.34,-0.001,0.003
-3.566e-03,-0.38,-0.4,-0.003,-0.009
-3.564e-03,-0.36,-0.34,-0.003,0.003
-3.562e-03,-0.36,-0.4,-0.003,-0.009
-3.560e-03,-0.36,-0.34,-0.003,0.003
-3.558e-03,-0.36,-0.4,-0.003,-0.009
-3.556e-03,-0.36,-0.34,-0.003,0.000999998
-3.554e-03,-0.34,-0.4,-0.005,-0.009
-3.552e-03,-0.36,-0.34,-0.001,0.000999998
-3.551e-03,-0.36,-0.4,0.000999998,-0.011
-3.549e-03,-0.36,-0.34,-0.003,0.003
-3.547e-03,-0.36,-0.4,-0.003,-0.009
-3.545e-03,-0.36,-0.34,-0.005,0.003
-3.543e-03,-0.36,-0.4,-0.001,-0.009
-3.541e-03,-0.36,-0.34,-0.003,0.000999998
-3.539e-03,-0.36,-0.42,-0.003,-0.009
-3.537e-03,-0.38,-0.34,-0.001,0.003
-3.535e-03,-0.38,-0.4,-0.005,-0.009
-3.533e-03,-0.36,-0.34,-0.001,0.003
-3.531e-03,-0.38,-0.4,-0.005,-0.009
